alpha_eta_mix,avg_frustration,anisotropy_ratio,alpha_min_rad,alpha_max_rad,alpha_span_rad,alpha_profile_std,model,valley,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection,pairing,abs_peak_minus_background,abs_zero_bias_andreev
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_B,0.0,0.05,8.507963775279036,8.507963775279036,1.0346091033222486,7.473354671956788,7.507963775279034,0.0,s_wave,7.473354671956788,7.507963775279034
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_T,0.0,0.05,5.80776401997543,5.80776401997543,1.0346013132998524,4.773162706675578,4.80776401997543,0.0,s_wave,4.773162706675578,4.80776401997543
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,total,0.0,0.05,8.038874665947937,8.038874665947937,1.034670092583536,7.004204573364401,7.038874665947937,0.0,s_wave,7.004204573364401,7.038874665947937
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_B,0.5,0.05,7.006371020223229,7.006371020223229,0.9020580927971092,6.10431292742612,6.006371020223228,0.0,s_wave,6.10431292742612,6.006371020223228
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_T,0.5,0.05,4.846211215980343,4.846211215980343,0.8823022325079719,3.963908983472371,3.846211215980344,0.0,s_wave,3.963908983472371,3.846211215980344
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,total,0.5,0.05,6.63109973275835,6.63109973275835,0.8863067759282532,5.744792956830096,5.63109973275835,0.0,s_wave,5.744792956830096,5.63109973275835
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_B,1.0,0.05,4.753981887639517,4.753981887639517,0.7032315770093999,4.050750310630117,3.753981887639517,0.0,s_wave,4.050750310630117,3.753981887639517
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_T,1.0,0.05,3.403882009987715,3.403882009987715,0.6538536113201513,2.750028398667564,2.403882009987715,0.0,s_wave,2.750028398667564,2.403882009987715
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,total,1.0,0.05,4.519437332973968,4.519437332973968,0.6637618009453295,3.855675532028639,3.5194373329739683,0.0,s_wave,3.855675532028639,3.5194373329739683
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_B,2.0,0.05,2.501592755055808,2.501592755055808,0.5044050612216905,1.997187693834117,1.501592755055807,0.0,s_wave,1.997187693834117,1.501592755055807
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_T,2.0,0.05,1.9615528039950865,1.9615528039950865,0.4254049901323307,1.5361478138627556,0.961552803995086,0.0,s_wave,1.5361478138627556,0.961552803995086
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,total,2.0,0.05,2.407774933189588,2.407774933189588,0.4412168259624057,1.9665581072271825,1.4077749331895877,0.0,s_wave,1.9665581072271825,1.4077749331895877
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_B,0.0,0.2,8.38501677022534,8.38501677022534,1.034560294354159,7.350456475871181,7.385016770225339,0.0,s_wave,7.350456475871181,7.385016770225339
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,K_T,0.0,0.2,5.729034259822994,5.729034259822994,1.0345561195347102,4.694478140288283,4.729034259822994,0.0,s_wave,4.694478140288283,4.729034259822994
0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976,0.916297857297023,4.390301300078682e-27,baseline,total,0.0,0.2,7.923609251112545,7.923609251112545,1.0346237229921882,6.888985528120356,6.923609251112547,0.0,s_wave,6.888985528120356,6.923609251112547
...TRUNCATED_FOR_BREVITY...