candidate,eta,alpha,barrier_Z,bias,conductance,conductance_minus_one,conductance_minus_curve_min,mean_frustration
s_wave,0.0,1.0471975511965976,2.0,-0.24,0.3531754636183302,-0.6468245363816698,0.0,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.23199999999999998,0.36326252939615417,-0.6367374706038458,0.010087065777823978,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.22399999999999998,0.37416197587107103,-0.625838024128929,0.02098651225274084,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.216,0.3859533436966514,-0.6140466563033486,0.03277788007832122,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.208,0.39872433827813797,-0.601275661721862,0.04554887465980778,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.19999999999999998,0.41257142856693757,-0.5874285714330625,0.05939596494860738,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.192,0.4276003565307807,-0.5723996434692193,0.07442489291245052,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.184,0.4439264820046131,-0.5560735179953868,0.09075101838628291,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.176,0.46167485508844797,-0.538325144911552,0.10849939147011778,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.16799999999999998,0.48097986444956337,-0.5190201355504367,0.12780440083123318,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.15999999999999998,0.5019842519648767,-0.4980157480351233,0.14880878834654654,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.152,0.5248372092989192,-0.4751627907010808,0.171661745680589,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.144,0.549691178237296,-0.45030882176270404,0.19651571461896578,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.13599999999999998,0.5766968641085929,-0.4233031358914071,0.2235214004902627,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.128,0.6059958454481462,-0.3940041545518538,0.25282038182981603,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.12,0.6377100371724054,-0.3622899628275946,0.2845345735540752,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.11199999999999999,0.6719271681820109,-0.3280728318179891,0.31875170456368074,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.10399999999999998,0.7086814204821579,-0.2913185795178421,0.3555059568638277,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.09599999999999997,0.7479285319567522,-0.25207146804324776,0.39475306833842205,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.088,0.7895151155889553,-0.21048488441104474,0.4363396519706251,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.07999999999999999,0.8331428571424296,-0.16685714285757036,0.47996739352409945,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.07199999999999998,0.8783297896403621,-0.12167021035963788,0.5251543260220319,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.064,0.9243731019527316,-0.07562689804726841,0.5711976383344014,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.055999999999999994,0.9703207981589943,-0.029679201841005698,0.6171453345406641,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.04799999999999999,1.0149624425844148,0.014962442584414815,0.6617869789660846,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.03999999999999998,1.0568510638315212,0.056851063831521165,0.703675600213191,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.03199999999999997,1.094367346940872,0.0943673469408719,0.7411918833225417,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.023999999999999994,1.1258317528320119,0.12583175283201187,0.7726562892136817,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.015999999999999986,1.1496594543770424,0.14965945437704242,0.7964839907587122,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,-0.00799999999999998,1.1645386819511987,0.1645386819511987,0.8113632183328685,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.0,1.1696000000028235,0.1696000000028235,0.8164245363844933,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.008000000000000007,1.1645386819511987,0.1645386819511987,0.8113632183328685,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.016000000000000014,1.1496594543770424,0.14965945437704242,0.7964839907587122,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.02400000000000002,1.1258317528320119,0.12583175283201187,0.7726562892136817,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.03200000000000003,1.0943673469408717,0.09436734694087168,0.7411918833225415,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.040000000000000036,1.056851063831521,0.05685106383152094,0.7036756002131908,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.04800000000000004,1.0149624425844144,0.01496244258441437,0.6617869789660842,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.055999999999999994,0.9703207981589943,-0.029679201841005698,0.6171453345406641,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.064,0.9243731019527316,-0.07562689804726841,0.5711976383344014,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.07200000000000001,0.8783297896403617,-0.12167021035963832,0.5251543260220315,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.08000000000000002,0.8331428571424295,-0.16685714285757047,0.47996739352409934,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.08800000000000002,0.7895151155889552,-0.21048488441104485,0.43633965197062496,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.09600000000000003,0.747928531956752,-0.252071468043248,0.39475306833842183,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.10400000000000004,0.7086814204821574,-0.29131857951784257,0.35550595686382724,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.11199999999999999,0.6719271681820109,-0.3280728318179891,0.31875170456368074,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.12,0.6377100371724054,-0.3622899628275946,0.2845345735540752,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.128,0.6059958454481462,-0.3940041545518538,0.25282038182981603,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.136,0.5766968641085929,-0.4233031358914071,0.2235214004902627,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.14400000000000002,0.5496911782372956,-0.45030882176270437,0.19651571461896544,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.15200000000000002,0.5248372092989192,-0.4751627907010808,0.171661745680589,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.16000000000000003,0.5019842519648765,-0.4980157480351235,0.14880878834654632,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.16800000000000004,0.4809798644495633,-0.5190201355504367,0.12780440083123312,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.17600000000000005,0.46167485508844786,-0.5383251449115521,0.10849939147011767,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.184,0.4439264820046131,-0.5560735179953868,0.09075101838628291,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.192,0.4276003565307807,-0.5723996434692193,0.07442489291245052,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.2,0.41257142856693735,-0.5874285714330627,0.05939596494860716,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.20800000000000002,0.39872433827813797,-0.601275661721862,0.04554887465980778,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.21600000000000003,0.3859533436966513,-0.6140466563033486,0.03277788007832111,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.22400000000000003,0.37416197587107103,-0.625838024128929,0.02098651225274084,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.23200000000000004,0.3632625293961539,-0.6367374706038461,0.0100870657778237,4.132233444309463e-11
s_wave,0.0,1.0471975511965976,2.0,0.24,0.3531754636183302,-0.6468245363816698,0.0,4.132233444309463e-11
s_pm,1.0,0.0,1.0,-0.24,0.6401439610415014,-0.3598560389584986,0.0,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.23199999999999998,0.6571441125056001,-0.3428558874943999,0.017000151464098723,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.22399999999999998,0.6755427178605872,-0.32445728213941283,0.035398756819085775,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.216,0.6954825255814961,-0.30451747441850385,0.05533856453999475,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.208,0.7171224517005879,-0.28287754829941214,0.07697849065908646,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.19999999999999998,0.7406392983233905,-0.2593607016766095,0.10049533728188909,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.192,0.7662295502906288,-0.23377044970937122,0.12608558924912738,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.184,0.7941112042400092,-0.20588879575999075,0.15396724319850785,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.176,0.8245255612210509,-0.17547443877894908,0.18438160017954952,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.16799999999999998,0.8577388856266429,-0.1422611143733571,0.2175949245851415,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.15999999999999998,0.8940438012981097,-0.10595619870189033,0.2538998402566083,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.152,0.9337602655739351,-0.0662397344260649,0.2936163045324337,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.144,0.9772359460578278,-0.02276405394217218,0.3370919850163264,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.13599999999999998,1.0248458481265492,0.02484584812654922,0.3847018870850478,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.128,1.0769911519261226,0.0769911519261226,0.4368471908846212,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.12,1.1340975043108428,0.13409750431084277,0.4939535432693414,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.11199999999999999,1.1966136305892714,0.1966136305892714,0.55646966954777,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.10399999999999998,1.265012352022506,0.26501235202250606,0.6248683909810047,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.09599999999999997,1.3397983643277407,0.3397983643277407,0.6996544032862393,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.088,1.4215311603552359,0.42153116035523586,0.7813871993137345,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.07999999999999999,1.510878318646784,0.510878318646784,0.8707343576052826,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.07199999999999998,1.6087253468977412,0.6087253468977412,0.9685813858562398,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.064,1.7163841375756077,0.7163841375756077,1.0762401765341063,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.055999999999999994,1.8359593246121384,0.8359593246121384,1.195815363570637,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.04799999999999999,1.9709277355100292,0.9709277355100292,1.3307837744685278,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.03999999999999998,2.126864915004615,1.126864915004615,1.4867209539631137,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.03199999999999997,2.3116716397607675,1.3116716397607675,1.671527678719266,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.023999999999999994,2.532635002563438,1.5326350025634379,1.8924910415219365,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.015999999999999986,2.7830114334784266,1.7830114334784266,2.142867472436925,0.9999999999586778
s_pm,1.0,0.0,1.0,-0.00799999999999998,3.0112629975392786,2.0112629975392786,2.3711190364977774,0.9999999999586778
s_pm,1.0,0.0,1.0,0.0,3.1097999999321977,2.1097999999321977,2.4696560388906965,0.9999999999586778
s_pm,1.0,0.0,1.0,0.008000000000000007,3.011262997539278,2.011262997539278,2.3711190364977766,0.9999999999586778
s_pm,1.0,0.0,1.0,0.016000000000000014,2.7830114334784266,1.7830114334784266,2.142867472436925,0.9999999999586778
s_pm,1.0,0.0,1.0,0.02400000000000002,2.5326350025634374,1.5326350025634374,1.892491041521936,0.9999999999586778
s_pm,1.0,0.0,1.0,0.03200000000000003,2.3116716397607666,1.3116716397607666,1.6715276787192652,0.9999999999586778
s_pm,1.0,0.0,1.0,0.040000000000000036,2.1268649150046137,1.1268649150046137,1.4867209539631123,0.9999999999586778
s_pm,1.0,0.0,1.0,0.04800000000000004,1.9709277355100274,0.9709277355100274,1.330783774468526,0.9999999999586778
s_pm,1.0,0.0,1.0,0.055999999999999994,1.8359593246121384,0.8359593246121384,1.195815363570637,0.9999999999586778
s_pm,1.0,0.0,1.0,0.064,1.7163841375756077,0.7163841375756077,1.0762401765341063,0.9999999999586778
s_pm,1.0,0.0,1.0,0.07200000000000001,1.6087253468977412,0.6087253468977412,0.9685813858562398,0.9999999999586778
s_pm,1.0,0.0,1.0,0.08000000000000002,1.5108783186467836,0.5108783186467836,0.8707343576052822,0.9999999999586778
s_pm,1.0,0.0,1.0,0.08800000000000002,1.4215311603552359,0.42153116035523586,0.7813871993137345,0.9999999999586778
s_pm,1.0,0.0,1.0,0.09600000000000003,1.3397983643277402,0.33979836432774024,0.6996544032862388,0.9999999999586778
s_pm,1.0,0.0,1.0,0.10400000000000004,1.2650123520225054,0.2650123520225054,0.624868390981004,0.9999999999586778
s_pm,1.0,0.0,1.0,0.11199999999999999,1.1966136305892714,0.1966136305892714,0.55646966954777,0.9999999999586778
s_pm,1.0,0.0,1.0,0.12,1.1340975043108428,0.13409750431084277,0.4939535432693414,0.9999999999586778
s_pm,1.0,0.0,1.0,0.128,1.0769911519261226,0.0769911519261226,0.4368471908846212,0.9999999999586778
s_pm,1.0,0.0,1.0,0.136,1.0248458481265488,0.024845848126548775,0.3847018870850474,0.9999999999586778
s_pm,1.0,0.0,1.0,0.14400000000000002,0.9772359460578274,-0.022764053942172624,0.337091985016326,0.9999999999586778
s_pm,1.0,0.0,1.0,0.15200000000000002,0.9337602655739348,-0.06623973442606523,0.29361630453243337,0.9999999999586778
s_pm,1.0,0.0,1.0,0.16000000000000003,0.8940438012981095,-0.10595619870189055,0.25389984025660806,0.9999999999586778
s_pm,1.0,0.0,1.0,0.16800000000000004,0.8577388856266425,-0.14226111437335753,0.21759492458514107,0.9999999999586778
s_pm,1.0,0.0,1.0,0.17600000000000005,0.8245255612210506,-0.17547443877894942,0.1843816001795492,0.9999999999586778
s_pm,1.0,0.0,1.0,0.184,0.7941112042400092,-0.20588879575999075,0.15396724319850785,0.9999999999586778
s_pm,1.0,0.0,1.0,0.192,0.7662295502906288,-0.23377044970937122,0.12608558924912738,0.9999999999586778
s_pm,1.0,0.0,1.0,0.2,0.7406392983233905,-0.2593607016766095,0.10049533728188909,0.9999999999586778
s_pm,1.0,0.0,1.0,0.20800000000000002,0.7171224517005876,-0.28287754829941236,0.07697849065908624,0.9999999999586778
s_pm,1.0,0.0,1.0,0.21600000000000003,0.6954825255814958,-0.3045174744185042,0.05533856453999442,0.9999999999586778
s_pm,1.0,0.0,1.0,0.22400000000000003,0.6755427178605872,-0.32445728213941283,0.035398756819085775,0.9999999999586778
s_pm,1.0,0.0,1.0,0.23200000000000004,0.6571441125056,-0.3428558874944,0.017000151464098612,0.9999999999586778
s_pm,1.0,0.0,1.0,0.24,0.6401439610415014,-0.3598560389584986,0.0,0.9999999999586778
chiral,0.0,1.0471975511965976,0.0,-0.24,1.2321188688241347,0.23211886882413468,0.0,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.23199999999999998,1.2484406725099024,0.24844067250990243,0.016321803685767744,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.22399999999999998,1.266088091479565,0.2660880914795649,0.03396922265543023,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.216,1.2851934642784488,0.2851934642784488,0.053074595454314144,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.208,1.3059034819795188,0.3059034819795188,0.0737846131553841,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.19999999999999998,1.3283805509824722,0.3283805509824722,0.09626168215833752,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.192,1.3528041653840661,0.3528041653840661,0.12068529655993143,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.184,1.3793722358972604,0.37937223589726043,0.14725336707312575,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.176,1.4083023046246128,0.4083023046246128,0.17618343580047813,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.16799999999999998,1.439832559135009,0.43983255913500896,0.20771369031087428,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.15999999999999998,1.4742225533835158,0.4742225533835158,0.24210368455938114,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.152,1.511753563891426,0.5117535638914259,0.2796346950672912,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.144,1.5527285898446228,0.5527285898446228,0.3206097210204881,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.13599999999999998,1.5974722047030268,0.5974722047030268,0.36535333587889207,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.128,1.6463308842824116,0.6463308842824116,0.4142120154582769,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.12,1.699675214708492,0.6996752147084919,0.46755634588435724,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.11199999999999999,1.7579066345868999,0.7579066345868999,0.5257877657627652,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.10399999999999998,1.8214727562385025,0.8214727562385025,0.5893538874143678,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.09599999999999997,1.8908943317804794,0.8908943317804794,0.6587754629563447,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.088,1.9667924548120002,0.9667924548120002,0.7346735859878655,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.07999999999999999,2.0498359263745,1.0498359263745,0.8177170575503654,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.07199999999999998,2.140288266598089,1.140288266598089,0.9081693977739542,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.064,2.2362730823277603,1.2362730823277603,1.0041542135036257,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.055999999999999994,2.3299017079988626,1.3299017079988626,1.097782839174728,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.04799999999999999,2.4056478251105684,1.4056478251105684,1.1735289562864337,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.03999999999999998,2.4518499140571044,1.4518499140571044,1.2197310452329697,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.03199999999999997,2.472635934485036,1.472635934485036,1.2405170656609013,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.023999999999999994,2.477256650095799,1.477256650095799,1.2451377812716644,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.015999999999999986,2.470217351870017,1.470217351870017,1.2380984830458823,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,-0.00799999999999998,2.457033524895861,1.457033524895861,1.2249146560717263,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.0,2.4499343371484117,1.4499343371484117,1.217815468324277,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.008000000000000007,2.457033524895861,1.457033524895861,1.2249146560717263,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.016000000000000014,2.470217351870017,1.470217351870017,1.2380984830458823,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.02400000000000002,2.4772566500957995,1.4772566500957995,1.2451377812716649,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.03200000000000003,2.472635934485036,1.472635934485036,1.2405170656609013,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.040000000000000036,2.4518499140571044,1.4518499140571044,1.2197310452329697,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.04800000000000004,2.4056478251105684,1.4056478251105684,1.1735289562864337,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.055999999999999994,2.3299017079988626,1.3299017079988626,1.097782839174728,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.064,2.2362730823277603,1.2362730823277603,1.0041542135036257,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.07200000000000001,2.140288266598089,1.140288266598089,0.9081693977739542,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.08000000000000002,2.0498359263744996,1.0498359263744996,0.817717057550365,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.08800000000000002,1.966792454812,0.9667924548119999,0.7346735859878653,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.09600000000000003,1.890894331780479,0.8908943317804789,0.6587754629563443,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.10400000000000004,1.8214727562385018,0.8214727562385018,0.5893538874143671,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.11199999999999999,1.7579066345868999,0.7579066345868999,0.5257877657627652,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.12,1.699675214708492,0.6996752147084919,0.46755634588435724,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.128,1.6463308842824116,0.6463308842824116,0.4142120154582769,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.136,1.5974722047030265,0.5974722047030265,0.36535333587889185,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.14400000000000002,1.5527285898446228,0.5527285898446228,0.3206097210204881,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.15200000000000002,1.5117535638914255,0.5117535638914255,0.2796346950672908,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.16000000000000003,1.4742225533835156,0.4742225533835156,0.24210368455938092,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.16800000000000004,1.4398325591350087,0.43983255913500874,0.20771369031087406,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.17600000000000005,1.4083023046246126,0.4083023046246126,0.1761834358004779,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.184,1.3793722358972604,0.37937223589726043,0.14725336707312575,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.192,1.3528041653840661,0.3528041653840661,0.12068529655993143,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.2,1.328380550982472,0.328380550982472,0.0962616821583373,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.20800000000000002,1.3059034819795188,0.3059034819795188,0.0737846131553841,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.21600000000000003,1.2851934642784484,0.2851934642784484,0.0530745954543137,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.22400000000000003,1.266088091479565,0.2660880914795649,0.03396922265543023,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.23200000000000004,1.2484406725099024,0.24844067250990243,0.016321803685767744,0.5341523573575565
chiral,0.0,1.0471975511965976,0.0,0.24,1.2321188688241347,0.23211886882413468,0.0,0.5341523573575565
